from_warehouse,to_warehouse,from_city,to_city,distance_km,cost_per_unit_inr
WH03,WH15,Ludhiana,Nagpur,1528,33.607
WH03,WH16,Ludhiana,Indore,1228,27.019
WH03,WH17,Ludhiana,Bhopal,1166,25.645
WH03,WH18,Ludhiana,Chennai,2744,60.358
WH03,WH19,Ludhiana,Bengaluru,2702,59.447
WH03,WH20,Ludhiana,Hyderabad,2060,45.329
WH03,WH21,Ludhiana,Coimbatore,2989,65.753
WH03,WH22,Ludhiana,Vijayawada,2258,49.679
WH03,WH23,Ludhiana,Visakhapatnam,2223,48.906
WH03,WH24,Ludhiana,Kochi,3148,69.264
WH03,WH25,Ludhiana,Hosur,2740,60.273
WH03,WH26,Ludhiana,Kolkata,2089,45.954
WH03,WH27,Ludhiana,Bhubaneswar,2085,45.86
WH03,WH28,Ludhiana,Patna,1462,32.167
WH03,WH29,Ludhiana,Jamshedpur,1841,40.507
WH03,WH30,Ludhiana,Guwahati,2210,48.624
WH04,WH01,Jaipur,Delhi,318,6.988
WH04,WH02,Jaipur,Gurugram,285,6.264
WH04,WH03,Jaipur,Ludhiana,599,13.174
WH04,WH05,Jaipur,Kanpur,613,13.496
WH04,WH06,Jaipur,Lucknow,691,15.197
WH04,WH07,Jaipur,Mumbai,1243,27.346
WH04,WH08,Jaipur,Pune,1288,28.33
WH04,WH09,Jaipur,Ahmedabad,730,16.052
WH04,WH10,Jaipur,Surat,952,20.952
WH04,WH11,Jaipur,Vadodara,777,17.102
WH04,WH12,Jaipur,Ankleshwar,880,19.368
WH04,WH13,Jaipur,Vapi,1059,23.294
WH04,WH14,Jaipur,Nashik,1074,23.623
WH04,WH15,Jaipur,Nagpur,977,21.487
WH04,WH16,Jaipur,Indore,629,13.848
WH04,WH17,Jaipur,Bhopal,591,13.005
WH04,WH18,Jaipur,Chennai,2170,47.731
WH04,WH19,Jaipur,Bengaluru,2108,46.378
WH04,WH20,Jaipur,Hyderabad,1478,32.526
WH04,WH21,Jaipur,Coimbatore,2392,52.621
WH04,WH22,Jaipur,Vijayawada,1702,37.451
WH04,WH23,Jaipur,Visakhapatnam,1726,37.974
WH04,WH24,Jaipur,Kochi,2550,56.1
WH04,WH25,Jaipur,Hosur,2147,47.225
WH04,WH26,Jaipur,Kolkata,1833,40.326
WH04,WH27,Jaipur,Bhubaneswar,1700,37.39
WH04,WH28,Jaipur,Patna,1274,28.027
WH04,WH29,Jaipur,Jamshedpur,1546,34.014
WH04,WH30,Jaipur,Guwahati,2144,47.163
WH05,WH01,Kanpur,Delhi,528,11.606
WH05,WH02,Kanpur,Gurugram,534,11.741
WH05,WH03,Kanpur,Ludhiana,891,19.596
WH05,WH04,Kanpur,Jaipur,613,13.496
WH05,WH06,Kanpur,Lucknow,102,2.237
WH05,WH07,Kanpur,Mumbai,1512,33.274
WH05,WH08,Kanpur,Pune,1490,32.79
WH05,WH09,Kanpur,Ahmedabad,1176,25.876
WH05,WH10,Kanpur,Surat,1299,28.582
WH05,WH11,Kanpur,Vadodara,1158,25.483
WH05,WH12,Kanpur,Ankleshwar,1238,27.245
WH05,WH13,Kanpur,Vapi,1370,30.147
WH05,WH14,Kanpur,Nashik,1323,29.113
WH05,WH15,Kanpur,Nagpur,814,17.915
WH05,WH16,Kanpur,Indore,828,18.226
WH05,WH17,Kanpur,Bhopal,622,13.692
WH05,WH18,Kanpur,Chennai,2007,44.145
WH05,WH19,Kanpur,Bengaluru,2060,45.313
WH05,WH20,Kanpur,Hyderabad,1385,30.464
WH05,WH21,Kanpur,Coimbatore,2366,52.041
WH05,WH22,Kanpur,Vijayawada,1493,32.853
WH05,WH23,Kanpur,Visakhapatnam,1375,30.255
WH05,WH24,Kanpur,Kochi,2546,56.01
WH05,WH25,Kanpur,Hosur,2088,45.936
WH05,WH26,Kanpur,Kolkata,1241,27.312
WH05,WH27,Kanpur,Bhubaneswar,1194,26.264
WH05,WH28,Kanpur,Patna,661,14.538
WH05,WH29,Kanpur,Jamshedpur,970,21.339
WH05,WH30,Kanpur,Guwahati,1535,33.769
WH06,WH01,Lucknow,Delhi,563,12.385
WH06,WH02,Lucknow,Gurugram,575,12.642
WH06,WH03,Lucknow,Ludhiana,904,19.891
WH06,WH04,Lucknow,Jaipur,691,15.197
WH06,WH05,Lucknow,Kanpur,102,2.237
WH06,WH07,Lucknow,Mumbai,1613,35.482
WH06,WH08,Lucknow,Pune,1589,34.949
WH06,WH09,Lucknow,Ahmedabad,1276,28.07
WH06,WH10,Lucknow,Surat,1401,30.819
WH06,WH11,Lucknow,Vadodara,1260,27.713
WH06,WH12,Lucknow,Ankleshwar,1340,29.481
WH06,WH13,Lucknow,Vapi,1472,32.378
WH06,WH14,Lucknow,Nashik,1424,31.32
WH06,WH15,Lucknow,Nagpur,893,19.643
WH06,WH16,Lucknow,Indore,930,20.454
WH06,WH17,Lucknow,Bhopal,722,15.875
WH06,WH18,Lucknow,Chennai,2068,45.503
WH06,WH19,Lucknow,Bengaluru,2136,46.981
WH06,WH20,Lucknow,Hyderabad,1461,32.137
WH06,WH21,Lucknow,Coimbatore,2442,53.731
WH06,WH22,Lucknow,Vijayawada,1553,34.162
WH06,WH23,Lucknow,Visakhapatnam,1411,31.035
WH06,WH24,Lucknow,Kochi,2624,57.737
WH06,WH25,Lucknow,Hosur,2163,47.576
WH06,WH26,Lucknow,Kolkata,1197,26.343
WH06,WH27,Lucknow,Bhubaneswar,1190,26.185
WH06,WH28,Lucknow,Patna,595,13.088
WH06,WH29,Lucknow,Jamshedpur,938,20.646
WH06,WH30,Lucknow,Guwahati,1453,31.966
WH07,WH01,Mumbai,Delhi,1550,34.098
WH07,WH02,Mumbai,Gurugram,1519,33.421
WH07,WH03,Mumbai,Ludhiana,1821,40.052
WH07,WH04,Mumbai,Jaipur,1243,27.346
WH07,WH05,Mumbai,Kanpur,1512,33.274
WH07,WH06,Mumbai,Lucknow,1613,35.482
WH07,WH08,Mumbai,Pune,162,3.569
WH07,WH09,Mumbai,Ahmedabad,594,13.067
WH07,WH10,Mumbai,Surat,314,6.918
WH07,WH11,Mumbai,Vadodara,487,10.712
WH07,WH12,Mumbai,Ankleshwar,383,8.432
WH07,WH13,Mumbai,Vapi,194,4.278
WH07,WH14,Mumbai,Nashik,189,4.162
WH07,WH15,Mumbai,Nagpur,929,20.434
WH07,WH16,Mumbai,Indore,688,15.142
WH07,WH17,Mumbai,Bhopal,893,19.642
WH07,WH18,Mumbai,Chennai,1395,30.683
WH07,WH19,Mumbai,Bengaluru,1141,25.106
WH07,WH20,Mumbai,Hyderabad,839,18.457
WH07,WH21,Mumbai,Coimbatore,1346,29.617
WH07,WH22,Mumbai,Vijayawada,1176,25.862
WH07,WH23,Mumbai,Visakhapatnam,1488,32.726
WH07,WH24,Mumbai,Kochi,1458,32.082
WH07,WH25,Mumbai,Hosur,1189,26.159
WH07,WH26,Mumbai,Kolkata,2234,49.149
WH07,WH27,Mumbai,Bhubaneswar,1839,40.448
WH07,WH28,Mumbai,Patna,1962,43.161
WH07,WH29,Mumbai,Jamshedpur,1949,42.883
WH07,WH30,Mumbai,Guwahati,2817,61.964
WH08,WH01,Pune,Delhi,1584,34.838
WH08,WH02,Pune,Gurugram,1554,34.194
WH08,WH03,Pune,Ludhiana,1878,41.322
WH08,WH04,Pune,Jaipur,1288,28.33
WH08,WH05,Pune,Kanpur,1490,32.79
WH08,WH06,Pune,Lucknow,1589,34.949
WH08,WH07,Pune,Mumbai,162,3.569
WH08,WH09,Pune,Ahmedabad,699,15.388
WH08,WH10,Pune,Surat,423,9.313
WH08,WH11,Pune,Vadodara,576,12.679
WH08,WH12,Pune,Ankleshwar,482,10.597
WH08,WH13,Pune,Vapi,309,6.793
WH08,WH14,Pune,Nashik,222,4.883
WH08,WH15,Pune,Nagpur,837,18.418
WH08,WH16,Pune,Indore,690,15.184
WH08,WH17,Pune,Bhopal,869,19.112
WH08,WH18,Pune,Chennai,1234,27.157
WH08,WH19,Pune,Bengaluru,993,21.836
WH08,WH20,Pune,Hyderabad,683,15.021
WH08,WH21,Pune,Coimbatore,1213,26.68
WH08,WH22,Pune,Vijayawada,1018,22.397
WH08,WH23,Pune,Visakhapatnam,1341,29.512
WH08,WH24,Pune,Kochi,1336,29.394
WH08,WH25,Pune,Hosur,1040,22.879
WH08,WH26,Pune,Kolkata,2127,46.789
WH08,WH27,Pune,Bhubaneswar,1715,37.727
WH08,WH28,Pune,Patna,1893,41.655
WH08,WH29,Pune,Jamshedpur,1849,40.669
WH08,WH30,Pune,Guwahati,2730,60.058
WH09,WH01,Ahmedabad,Delhi,1047,23.039
WH09,WH02,Ahmedabad,Gurugram,1014,22.312
WH09,WH03,Ahmedabad,Ludhiana,1262,27.753
WH09,WH04,Ahmedabad,Jaipur,730,16.052
WH09,WH05,Ahmedabad,Kanpur,1176,25.876
WH09,WH06,Ahmedabad,Lucknow,1276,28.07
WH09,WH07,Ahmedabad,Mumbai,594,13.067
WH09,WH08,Ahmedabad,Pune,699,15.388
WH09,WH10,Ahmedabad,Surat,280,6.169
WH09,WH11,Ahmedabad,Vadodara,137,3.006
WH09,WH12,Ahmedabad,Ankleshwar,218,4.791
WH09,WH13,Ahmedabad,Vapi,401,8.816
WH09,WH14,Ahmedabad,Nashik,485,10.668
WH09,WH15,Ahmedabad,Nagpur,949,20.881
WH09,WH16,Ahmedabad,Indore,457,10.049
WH09,WH17,Ahmedabad,Bhopal,669,14.722
WH09,WH18,Ahmedabad,Chennai,1852,40.743
WH09,WH19,Ahmedabad,Bengaluru,1670,36.74
WH09,WH20,Ahmedabad,Hyderabad,1187,26.121
WH09,WH21,Ahmedabad,Coimbatore,1908,41.986
WH09,WH22,Ahmedabad,Vijayawada,1502,33.048
WH09,WH23,Ahmedabad,Visakhapatnam,1698,37.36
WH09,WH24,Ahmedabad,Kochi,2036,44.782
WH09,WH25,Ahmedabad,Hosur,1716,37.744
WH09,WH26,Ahmedabad,Kolkata,2185,48.08
WH09,WH27,Ahmedabad,Bhubaneswar,1893,41.645
WH09,WH28,Ahmedabad,Patna,1761,38.745
WH09,WH29,Ahmedabad,Jamshedpur,1884,41.457
WH09,WH30,Ahmedabad,Guwahati,2655,58.413
WH10,WH01,Surat,Delhi,1266,27.855
WH10,WH02,Surat,Gurugram,1234,27.153
WH10,WH03,Surat,Ludhiana,1516,33.362
WH10,WH04,Surat,Jaipur,952,20.952
WH10,WH05,Surat,Kanpur,1299,28.582
WH10,WH06,Surat,Lucknow,1401,30.819
WH10,WH07,Surat,Mumbai,314,6.918
WH10,WH08,Surat,Pune,423,9.313
WH10,WH09,Surat,Ahmedabad,280,6.169
WH10,WH11,Surat,Vadodara,178,3.905
WH10,WH12,Surat,Ankleshwar,72,1.593
WH10,WH13,Surat,Vapi,120,2.649
WH10,WH14,Surat,Nashik,222,4.877
WH10,WH15,Surat,Nagpur,876,19.27
WH10,WH16,Surat,Indore,481,10.589
WH10,WH17,Surat,Bhopal,710,15.614
WH10,WH18,Surat,Chennai,1616,35.545
WH10,WH19,Surat,Bengaluru,1407,30.964
WH10,WH20,Surat,Hyderabad,982,21.608
WH10,WH21,Surat,Coimbatore,1636,35.987
WH10,WH22,Surat,Vijayawada,1312,28.873
WH10,WH23,Surat,Visakhapatnam,1560,34.324
WH10,WH24,Surat,Kochi,1759,38.687
WH10,WH25,Surat,Hosur,1454,31.988
WH10,WH26,Surat,Kolkata,2173,47.807
WH10,WH27,Surat,Bhubaneswar,1828,40.224
WH10,WH28,Surat,Patna,1820,40.039
WH10,WH29,Surat,Jamshedpur,1877,41.287
WH10,WH30,Surat,Guwahati,2701,59.432
WH11,WH01,Vadodara,Delhi,1093,24.037
WH11,WH02,Vadodara,Gurugram,1060,23.329
WH11,WH03,Vadodara,Ludhiana,1339,29.457
WH11,WH04,Vadodara,Jaipur,777,17.102
WH11,WH05,Vadodara,Kanpur,1158,25.483
WH11,WH06,Vadodara,Lucknow,1260,27.713
WH11,WH07,Vadodara,Mumbai,487,10.712
WH11,WH08,Vadodara,Pune,576,12.679
WH11,WH09,Vadodara,Ahmedabad,137,3.006
WH11,WH10,Vadodara,Surat,178,3.905
WH11,WH12,Vadodara,Ankleshwar,105,2.316
WH11,WH13,Vadodara,Vapi,293,6.45
WH11,WH14,Vadodara,Nashik,357,7.855
WH11,WH15,Vadodara,Nagpur,842,18.522
WH11,WH16,Vadodara,Indore,376,8.278
WH11,WH17,Vadodara,Bhopal,603,13.262
WH11,WH18,Vadodara,Chennai,1715,37.737
WH11,WH19,Vadodara,Bengaluru,1537,33.807
WH11,WH20,Vadodara,Hyderabad,1052,23.143
WH11,WH21,Vadodara,Coimbatore,1779,39.145
WH11,WH22,Vadodara,Vijayawada,1369,30.12
WH11,WH23,Vadodara,Visakhapatnam,1576,34.671
WH11,WH24,Vadodara,Kochi,1910,42.022
WH11,WH25,Vadodara,Hosur,1582,34.804
WH11,WH26,Vadodara,Kolkata,2106,46.332
WH11,WH27,Vadodara,Bhubaneswar,1793,39.451
WH11,WH28,Vadodara,Patna,1712,37.665
WH11,WH29,Vadodara,Jamshedpur,1806,39.736
WH11,WH30,Vadodara,Guwahati,2602,57.243
WH12,WH01,Ankleshwar,Delhi,1195,26.279
WH12,WH02,Ankleshwar,Gurugram,1163,25.576
WH12,WH03,Ankleshwar,Ludhiana,1444,31.773
WH12,WH04,Ankleshwar,Jaipur,880,19.368
WH12,WH05,Ankleshwar,Kanpur,1238,27.245
WH12,WH06,Ankleshwar,Lucknow,1340,29.481
WH12,WH07,Ankleshwar,Mumbai,383,8.432
WH12,WH08,Ankleshwar,Pune,482,10.597
WH12,WH09,Ankleshwar,Ahmedabad,218,4.791
WH12,WH10,Ankleshwar,Surat,72,1.593
WH12,WH11,Ankleshwar,Vadodara,105,2.316
WH12,WH13,Ankleshwar,Vapi,189,4.156
WH12,WH14,Ankleshwar,Nashik,269,5.908
WH12,WH15,Ankleshwar,Nagpur,854,18.791
WH12,WH16,Ankleshwar,Indore,430,9.458
WH12,WH17,Ankleshwar,Bhopal,660,14.51
WH12,WH18,Ankleshwar,Chennai,1652,36.335
WH12,WH19,Ankleshwar,Bengaluru,1456,32.038
WH12,WH20,Ankleshwar,Hyderabad,1004,22.087
WH12,WH21,Ankleshwar,Coimbatore,1691,37.208
WH12,WH22,Ankleshwar,Vijayawada,1329,29.246
WH12,WH23,Ankleshwar,Visakhapatnam,1560,34.331
WH12,WH24,Ankleshwar,Kochi,1818,39.99
WH12,WH25,Ankleshwar,Hosur,1502,33.051
WH12,WH26,Ankleshwar,Kolkata,2141,47.097
WH12,WH27,Ankleshwar,Bhubaneswar,1808,39.785
WH12,WH28,Ankleshwar,Patna,1772,38.978
WH12,WH29,Ankleshwar,Jamshedpur,1843,40.542
WH12,WH30,Ankleshwar,Guwahati,2657,58.451
WH13,WH01,Vapi,Delhi,1370,30.131
WH13,WH02,Vapi,Gurugram,1338,29.44
WH13,WH03,Vapi,Ludhiana,1630,35.864
WH13,WH04,Vapi,Jaipur,1059,23.294
WH13,WH05,Vapi,Kanpur,1370,30.147
WH13,WH06,Vapi,Lucknow,1472,32.378
WH13,WH07,Vapi,Mumbai,194,4.278
WH13,WH08,Vapi,Pune,309,6.793
WH13,WH09,Vapi,Ahmedabad,401,8.816
WH13,WH10,Vapi,Surat,120,2.649
WH13,WH11,Vapi,Vadodara,293,6.45
WH13,WH12,Vapi,Ankleshwar,189,4.156
WH13,WH14,Vapi,Nashik,137,3.008
WH13,WH15,Vapi,Nagpur,876,19.265
WH13,WH16,Vapi,Indore,542,11.934
WH13,WH17,Vapi,Bhopal,763,16.792
WH13,WH18,Vapi,Chennai,1522,33.483
WH13,WH19,Vapi,Bengaluru,1299,28.582
WH13,WH20,Vapi,Hyderabad,911,20.035
WH13,WH21,Vapi,Coimbatore,1521,33.463
WH13,WH22,Vapi,Vijayawada,1246,27.405
WH13,WH23,Vapi,Visakhapatnam,1518,33.39
WH13,WH24,Vapi,Kochi,1641,36.1
WH13,WH25,Vapi,Hosur,1346,29.616
WH13,WH26,Vapi,Kolkata,2184,48.04
WH13,WH27,Vapi,Bhubaneswar,1818,39.999
WH13,WH28,Vapi,Patna,1862,40.97
WH13,WH29,Vapi,Jamshedpur,1891,41.603
WH13,WH30,Vapi,Guwahati,2735,60.16
WH14,WH01,Nashik,Delhi,1375,30.254
WH14,WH02,Nashik,Gurugram,1345,29.592
WH14,WH03,Nashik,Ludhiana,1660,36.53
WH14,WH04,Nashik,Jaipur,1074,23.623
WH14,WH05,Nashik,Kanpur,1323,29.113
WH14,WH06,Nashik,Lucknow,1424,31.32
WH14,WH07,Nashik,Mumbai,189,4.162
WH14,WH08,Nashik,Pune,222,4.883
WH14,WH09,Nashik,Ahmedabad,485,10.668
WH14,WH10,Nashik,Surat,222,4.877
WH14,WH11,Nashik,Vadodara,357,7.855
WH14,WH12,Nashik,Ankleshwar,269,5.908
WH14,WH13,Nashik,Vapi,137,3.008
WH14,WH15,Nashik,Nagpur,764,16.814
WH14,WH16,Nashik,Indore,501,11.012
WH14,WH17,Nashik,Bhopal,704,15.483
WH14,WH18,Nashik,Chennai,1395,30.688
WH14,WH19,Nashik,Bengaluru,1188,26.14
WH14,WH20,Nashik,Hyderabad,774,17.037
WH14,WH21,Nashik,Coimbatore,1424,31.319
WH14,WH22,Nashik,Vijayawada,1109,24.4
WH14,WH23,Nashik,Visakhapatnam,1383,30.436
WH14,WH24,Nashik,Kochi,1553,34.168
WH14,WH25,Nashik,Hosur,1234,27.158
WH14,WH26,Nashik,Kolkata,2074,45.626
WH14,WH27,Nashik,Bhubaneswar,1696,37.317
WH14,WH28,Nashik,Patna,1780,39.156
WH14,WH29,Nashik,Jamshedpur,1785,39.262
WH14,WH30,Nashik,Guwahati,2642,58.114
WH15,WH01,Nagpur,Delhi,1150,25.296
WH15,WH02,Nagpur,Gurugram,1133,24.93
WH15,WH03,Nagpur,Ludhiana,1528,33.607
WH15,WH04,Nagpur,Jaipur,977,21.487
WH15,WH05,Nagpur,Kanpur,814,17.915
WH15,WH06,Nagpur,Lucknow,893,19.643
WH15,WH07,Nagpur,Mumbai,929,20.434
WH15,WH08,Nagpur,Pune,837,18.418
WH15,WH09,Nagpur,Ahmedabad,949,20.881
WH15,WH10,Nagpur,Surat,876,19.27
WH15,WH11,Nagpur,Vadodara,842,18.522
WH15,WH12,Nagpur,Ankleshwar,854,18.791
WH15,WH13,Nagpur,Vapi,876,19.265
WH15,WH14,Nagpur,Nashik,764,16.814
WH15,WH16,Nagpur,Indore,508,11.178
WH15,WH17,Nagpur,Bhopal,394,8.66
WH15,WH18,Nagpur,Chennai,1222,26.888
WH15,WH19,Nagpur,Bengaluru,1246,27.403
WH15,WH20,Nagpur,Hyderabad,571,12.561
WH15,WH21,Nagpur,Coimbatore,1551,34.126
WH15,WH22,Nagpur,Vijayawada,731,16.079
WH15,WH23,Nagpur,Visakhapatnam,782,17.202
WH15,WH24,Nagpur,Kochi,1732,38.104
WH15,WH25,Nagpur,Hosur,1275,28.042
WH15,WH26,Nagpur,Kolkata,1310,28.813
WH15,WH27,Nagpur,Bhubaneswar,954,20.994
WH15,WH28,Nagpur,Patna,1068,23.491
WH15,WH29,Nagpur,Jamshedpur,1021,22.464
WH15,WH30,Nagpur,Guwahati,1893,41.643
WH16,WH01,Indore,Delhi,903,19.876
WH16,WH02,Indore,Gurugram,876,19.273
WH16,WH03,Indore,Ludhiana,1228,27.019
WH16,WH04,Indore,Jaipur,629,13.848
WH16,WH05,Indore,Kanpur,828,18.226
WH16,WH06,Indore,Lucknow,930,20.454
WH16,WH07,Indore,Mumbai,688,15.142
WH16,WH08,Indore,Pune,690,15.184
WH16,WH09,Indore,Ahmedabad,457,10.049
WH16,WH10,Indore,Surat,481,10.589
WH16,WH11,Indore,Vadodara,376,8.278
WH16,WH12,Indore,Ankleshwar,430,9.458
WH16,WH13,Indore,Vapi,542,11.934
WH16,WH14,Indore,Nashik,501,11.012
WH16,WH15,Indore,Nagpur,508,11.178
WH16,WH17,Indore,Bhopal,230,5.053
WH16,WH18,Indore,Chennai,1578,34.707
WH16,WH19,Indore,Bengaluru,1484,32.651
WH16,WH20,Indore,Hyderabad,882,19.412
WH16,WH21,Indore,Coimbatore,1764,38.803
WH16,WH22,Indore,Vijayawada,1152,25.354
WH16,WH23,Indore,Visakhapatnam,1283,28.216
WH16,WH24,Indore,Kochi,1921,42.253
WH16,WH25,Indore,Hosur,1524,33.529
WH16,WH26,Indore,Kolkata,1732,38.109
WH16,WH27,Indore,Bhubaneswar,1438,31.644
WH16,WH28,Indore,Patna,1342,29.521
WH16,WH29,Indore,Jamshedpur,1432,31.499
WH16,WH30,Indore,Guwahati,2229,49.028
WH17,WH01,Bhopal,Delhi,804,17.692
WH17,WH02,Bhopal,Gurugram,782,17.21
WH17,WH03,Bhopal,Ludhiana,1166,25.645
WH17,WH04,Bhopal,Jaipur,591,13.005
WH17,WH05,Bhopal,Kanpur,622,13.692
WH17,WH06,Bhopal,Lucknow,722,15.875
WH17,WH07,Bhopal,Mumbai,893,19.642
WH17,WH08,Bhopal,Pune,869,19.112
WH17,WH09,Bhopal,Ahmedabad,669,14.722
WH17,WH10,Bhopal,Surat,710,15.614
WH17,WH11,Bhopal,Vadodara,603,13.262
WH17,WH12,Bhopal,Ankleshwar,660,14.51
WH17,WH13,Bhopal,Vapi,763,16.792
WH17,WH14,Bhopal,Nashik,704,15.483
WH17,WH15,Bhopal,Nagpur,394,8.66
WH17,WH16,Bhopal,Indore,230,5.053
WH17,WH18,Bhopal,Chennai,1581,34.782
WH17,WH19,Bhopal,Bengaluru,1545,33.982
WH17,WH20,Bhopal,Hyderabad,895,19.685
WH17,WH21,Bhopal,Coimbatore,1839,40.458
WH17,WH22,Bhopal,Vijayawada,1112,24.459
WH17,WH23,Bhopal,Visakhapatnam,1169,25.71
WH17,WH24,Bhopal,Kochi,2008,44.166
WH17,WH25,Bhopal,Hosur,1580,34.763
WH17,WH26,Bhopal,Kolkata,1517,33.381
WH17,WH27,Bhopal,Bhubaneswar,1254,27.585
WH17,WH28,Bhopal,Patna,1112,24.469
WH17,WH29,Bhopal,Jamshedpur,1216,26.754
WH17,WH30,Bhopal,Guwahati,2000,43.992
WH18,WH01,Chennai,Delhi,2370,52.147
WH18,WH02,Chennai,Gurugram,2352,51.752
WH18,WH03,Chennai,Ludhiana,2744,60.358
WH18,WH04,Chennai,Jaipur,2170,47.731
WH18,WH05,Chennai,Kanpur,2007,44.145
WH18,WH06,Chennai,Lucknow,2068,45.503
WH18,WH07,Chennai,Mumbai,1395,30.683
WH18,WH08,Chennai,Pune,1234,27.157
WH18,WH09,Chennai,Ahmedabad,1852,40.743
WH18,WH10,Chennai,Surat,1616,35.545
WH18,WH11,Chennai,Vadodara,1715,37.737
WH18,WH12,Chennai,Ankleshwar,1652,36.335
WH18,WH13,Chennai,Vapi,1522,33.483
WH18,WH14,Chennai,Nashik,1395,30.688
WH18,WH15,Chennai,Nagpur,1222,26.888
WH18,WH16,Chennai,Indore,1578,34.707
WH18,WH17,Chennai,Bhopal,1581,34.782
WH18,WH19,Chennai,Bengaluru,392,8.618
WH18,WH20,Chennai,Hyderabad,696,15.303
WH18,WH21,Chennai,Coimbatore,577,12.695
WH18,WH22,Chennai,Vijayawada,517,11.37
WH18,WH23,Chennai,Visakhapatnam,812,17.867
WH18,WH24,Chennai,Kochi,755,16.617
WH18,WH25,Chennai,Hosur,361,7.952
WH18,WH26,Chennai,Kolkata,1834,40.343
WH18,WH27,Chennai,Bhubaneswar,1345,29.591
WH18,WH28,Chennai,Patna,2000,44.0
WH18,WH29,Chennai,Jamshedpur,1687,37.109
WH18,WH30,Chennai,Guwahati,2541,55.9
WH19,WH01,Bengaluru,Delhi,2349,51.672
WH19,WH02,Bengaluru,Gurugram,2326,51.178
WH19,WH03,Bengaluru,Ludhiana,2702,59.447
WH19,WH04,Bengaluru,Jaipur,2108,46.378
